participant,exam_type,grade,stress_score,stress_category,predicted_grade,prediction_error,at_risk
S1,Midterm 1,78,4.06180696359349,Moderate Stress,97.61683089133086,-19.616830891330864,False
S1,Midterm 2,82,3.8646371425274895,Moderate Stress,93.79649175824176,-11.796491758241757,False
S1,Final,182,3.057328672840902,Low Stress,153.05108699633698,28.948913003663023,False
S10,Midterm 1,89,2.6301758211994244,Low Stress,80.98834096459096,8.01165903540904,False
S10,Midterm 2,64,4.024478782989529,Moderate Stress,81.3573031135531,-17.3573031135531,False
S10,Final,116,3.0001074296229366,Low Stress,121.46704761904762,-5.467047619047619,False
S2,Midterm 1,82,3.2164906455672315,Low Stress,82.65602197802198,-0.6560219780219825,False
S2,Midterm 2,85,3.264148610676724,Low Stress,99.15201953601952,-14.152019536019523,False
S2,Final,180,4.798270304127651,High Stress,115.63089652014649,64.36910347985351,True
S3,Midterm 1,77,3.413961042208712,Moderate Stress,86.76846642246643,-9.768466422466432,False
S3,Midterm 2,90,6.989249983970284,High Stress,106.25235286935285,-16.252352869352848,True
S3,Final,188,3.6719833862497273,Moderate Stress,151.32868406593406,36.671315934065944,False
S4,Midterm 1,75,4.480767734592993,Moderate Stress,76.70110714285715,-1.701107142857154,False
S4,Midterm 2,77,5.290614428347317,High Stress,83.53398015873016,-6.533980158730159,True
S4,Final,149,5.527116689883678,High Stress,144.55502777777778,4.444972222222219,True
S5,Midterm 1,67,1.9511803590520906,Low Stress,78.45465476190476,-11.454654761904763,False
S5,Midterm 2,77,7.2362174872632385,High Stress,92.31194413919413,-15.311944139194125,True
S5,Final,157,6.499738048235659,High Stress,127.33189499389496,29.668105006105037,True
S6,Midterm 1,71,6.698248002042128,High Stress,86.70567216117215,-15.705672161172146,True
S6,Midterm 2,64,3.642409503197995,Moderate Stress,86.84475396825397,-22.84475396825397,False
S6,Final,175,2.991686353733024,Low Stress,138.1083134920635,36.8916865079365,False
S7,Midterm 1,64,2.1224965623603347,Low Stress,70.59432142857143,-6.594321428571433,False
S7,Midterm 2,33,3.4747099455319193,Moderate Stress,55.29833333333334,-22.29833333333334,False
S7,Final,110,3.3450862225663505,Moderate Stress,103.02437301587302,6.975626984126976,False
S8,Midterm 1,92,6.237622224657311,High Stress,86.17721428571429,5.822785714285715,True
S8,Midterm 2,88,2.3287842929744933,Low Stress,95.50309096459095,-7.503090964590953,False
S8,Final,184,6.458353705038553,High Stress,147.20084096459098,36.79915903540902,True
S9,Midterm 1,80,1.9199212740238352,Low Stress,80.63931318681318,-0.6393131868131832,False
S9,Midterm 2,39,4.752273036847049,High Stress,120.44027136752135,-81.44027136752135,True
S9,Final,126,4.005369030749426,Moderate Stress,127.57933333333334,-1.579333333333338,False
